Username,ID,Comment,Open,Created at,Closed at,Changes,Added,Modified,Deleted,name_highway added,name_highway modified,name_highway deleted,surface_highway added,surface_highway modified,surface_highway deleted,Discussions,URL
spuddy93,73669048,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-23T13:55:11Z,2019-08-23T13:55:12Z,21,16,5,0,0,0,0,1,0,0,0,https://www.openstreetmap.org/changeset/73669048
spuddy93,73668751,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-23T13:49:31Z,2019-08-23T13:49:32Z,10,3,3,4,0,0,0,2,1,0,0,https://www.openstreetmap.org/changeset/73668751
spuddy93,73666327,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-23T13:03:03Z,2019-08-23T13:03:04Z,3,2,1,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73666327
spuddy93,73665477,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-23T12:46:10Z,2019-08-23T12:46:11Z,10,8,2,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73665477
spuddy93,73665155,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-23T12:40:39Z,2019-08-23T12:40:40Z,16,8,8,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73665155
spuddy93,73663811,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-23T12:13:58Z,2019-08-23T12:13:59Z,5,4,1,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73663811
spuddy93,73663488,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-23T12:06:50Z,2019-08-23T12:06:51Z,10,3,7,0,0,2,0,0,0,0,0,https://www.openstreetmap.org/changeset/73663488
spuddy93,73662502,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-23T11:43:01Z,2019-08-23T11:43:02Z,2,0,2,0,0,2,0,0,0,0,0,https://www.openstreetmap.org/changeset/73662502
spuddy93,73662350,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-23T11:39:30Z,2019-08-23T11:39:32Z,28,7,21,0,0,4,0,7,0,0,0,https://www.openstreetmap.org/changeset/73662350
spuddy93,73660378,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-23T10:56:29Z,2019-08-23T10:56:30Z,6,1,4,1,0,1,0,2,0,0,0,https://www.openstreetmap.org/changeset/73660378
spuddy93,73660009,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-23T10:48:30Z,2019-08-23T10:48:31Z,3,1,2,0,0,1,0,0,0,0,0,https://www.openstreetmap.org/changeset/73660009
spuddy93,73659386,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-23T10:36:31Z,2019-08-23T10:36:32Z,10,7,2,1,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73659386
spuddy93,73659158,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-23T10:32:32Z,2019-08-23T10:32:33Z,5,3,2,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73659158
spuddy93,73659066,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-23T10:30:48Z,2019-08-23T10:30:50Z,30,15,15,0,0,2,0,0,0,0,0,https://www.openstreetmap.org/changeset/73659066
spuddy93,73622537,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T12:41:04Z,2019-08-22T12:41:05Z,6,3,3,0,0,2,0,1,0,0,0,https://www.openstreetmap.org/changeset/73622537
spuddy93,73622360,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T12:36:49Z,2019-08-22T12:36:51Z,21,8,13,0,0,5,0,0,0,0,0,https://www.openstreetmap.org/changeset/73622360
spuddy93,73621502,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T12:18:34Z,2019-08-22T12:18:35Z,8,4,4,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73621502
spuddy93,73621154,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T12:10:47Z,2019-08-22T12:10:48Z,7,3,4,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73621154
spuddy93,73620984,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T12:07:18Z,2019-08-22T12:07:20Z,3,0,3,0,3,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73620984
spuddy93,73620886,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T12:05:07Z,2019-08-22T12:05:09Z,6,4,2,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73620886
spuddy93,73620840,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T12:04:03Z,2019-08-22T12:04:04Z,20,9,11,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73620840
spuddy93,73619977,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T11:46:31Z,2019-08-22T11:46:32Z,3,1,2,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73619977
spuddy93,73619931,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T11:45:15Z,2019-08-22T11:45:16Z,26,7,19,0,0,3,0,0,0,0,0,https://www.openstreetmap.org/changeset/73619931
spuddy93,73616381,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T10:31:57Z,2019-08-22T10:31:58Z,4,1,3,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73616381
spuddy93,73615521,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T10:15:06Z,2019-08-22T10:15:07Z,4,1,1,2,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73615521
spuddy93,73615417,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T10:12:25Z,2019-08-22T10:12:27Z,4,0,1,3,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73615417
spuddy93,73615018,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T10:04:19Z,2019-08-22T10:04:20Z,6,4,2,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73615018
spuddy93,73614774,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T09:59:16Z,2019-08-22T09:59:17Z,4,0,4,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73614774
spuddy93,73614651,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T09:57:02Z,2019-08-22T09:57:03Z,3,2,1,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73614651
spuddy93,73613842,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T09:38:58Z,2019-08-22T09:38:59Z,9,2,7,0,0,1,0,3,0,0,0,https://www.openstreetmap.org/changeset/73613842
spuddy93,73613212,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T09:21:36Z,2019-08-22T09:21:37Z,15,3,12,0,0,2,0,4,0,0,0,https://www.openstreetmap.org/changeset/73613212
spuddy93,73610940,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-22T08:23:51Z,2019-08-22T08:23:52Z,3,0,3,0,0,2,0,1,0,0,0,https://www.openstreetmap.org/changeset/73610940
spuddy93,73583628,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T14:19:17Z,2019-08-21T14:19:18Z,3,2,1,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73583628
spuddy93,73583075,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T14:06:38Z,2019-08-21T14:06:39Z,26,18,8,0,0,0,0,4,0,0,0,https://www.openstreetmap.org/changeset/73583075
spuddy93,73581081,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T13:25:05Z,2019-08-21T13:25:07Z,4,2,2,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73581081
spuddy93,73580561,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T13:13:41Z,2019-08-21T13:13:54Z,4,2,1,1,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73580561
spuddy93,73580351,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T13:09:27Z,2019-08-21T13:09:28Z,4,3,1,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73580351
spuddy93,73580040,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T13:02:56Z,2019-08-21T13:02:57Z,9,4,4,1,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73580040
spuddy93,73579573,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T12:52:09Z,2019-08-21T12:52:10Z,9,5,4,0,0,0,0,3,0,0,0,https://www.openstreetmap.org/changeset/73579573
spuddy93,73579243,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T12:44:45Z,2019-08-21T12:44:46Z,12,5,7,0,0,1,0,6,0,0,0,https://www.openstreetmap.org/changeset/73579243
spuddy93,73578473,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T12:26:58Z,2019-08-21T12:26:59Z,21,12,6,3,0,0,0,1,0,0,0,https://www.openstreetmap.org/changeset/73578473
spuddy93,73577861,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T12:12:44Z,2019-08-21T12:12:46Z,38,13,23,2,0,0,0,3,0,0,0,https://www.openstreetmap.org/changeset/73577861
spuddy93,73577286,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T11:58:55Z,2019-08-21T11:58:56Z,12,4,8,0,0,0,0,8,0,0,0,https://www.openstreetmap.org/changeset/73577286
spuddy93,73575431,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T11:12:52Z,2019-08-21T11:12:53Z,4,1,3,0,0,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73575431
spuddy93,73575347,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T11:10:39Z,2019-08-21T11:10:40Z,6,4,2,0,0,0,0,1,0,0,0,https://www.openstreetmap.org/changeset/73575347
spuddy93,73575284,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T11:09:07Z,2019-08-21T11:09:08Z,6,5,1,0,0,0,0,1,0,0,0,https://www.openstreetmap.org/changeset/73575284
spuddy93,73575016,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T11:02:21Z,2019-08-21T11:02:22Z,12,11,1,0,0,0,0,0,1,0,0,https://www.openstreetmap.org/changeset/73575016
spuddy93,73574674,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T10:52:40Z,2019-08-21T10:52:41Z,8,4,4,0,1,0,0,3,1,0,0,https://www.openstreetmap.org/changeset/73574674
spuddy93,73574485,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T10:47:39Z,2019-08-21T10:47:40Z,1,0,1,0,1,0,0,0,0,0,0,https://www.openstreetmap.org/changeset/73574485
spuddy93,73574151,"b'Adding road surfaces, lanes, geometry, and names and editing classifications based on ground survey in Tirana, Albania. #Kaart Ground Survey 2019'",false,2019-08-21T10:39:24Z,2019-08-21T10:39:25Z,9,1,8,0,1,0,0,7,1,0,0,https://www.openstreetmap.org/changeset/73574151
spuddy93,73573564,"b'Added road lane number and road surface types in Bangkok, Thailand. #Kaart Ground Survey 2019'",false,2019-08-21T10:25:57Z,2019-08-21T10:25:58Z,3,0,3,0,0,0,0,3,0,0,0,https://www.openstreetmap.org/changeset/73573564
