Editor,Changesets,Edits,Discussions,Edits/Changeset,Additions,Modifications,Deletions,name_highway added,name_highway modified,name_highway deleted,surface_highway added,surface_highway modified,surface_highway deleted
El Pescador,28,259,0,9.25,94,165,0,19,13,0,35,0,0
Corban8,21,670,0,31.9,11,658,1,0,0,0,0,0,0
GhostEye,210,4679,0,22.28,1957,2363,359,605,293,2,145,1,1
Baconcrisp,141,2434,0,17.26,1089,1300,45,0,12,20,159,8,0
CoolGuyJake,51,5376,0,105.41,1409,3746,221,238,249,13,395,0,0
TheMineralCartographer,67,6497,2,96.97,4542,1773,182,40,0,0,0,0,0
AnonJason,218,4114,0,18.87,1314,2730,70,223,155,4,95,5,0
_Poliwrath_,130,2721,0,20.93,300,2271,150,338,181,0,125,3,0
spuddy93,229,11596,0,50.64,8295,2934,367,35,2,1,0,0,0
JAAS,47,3670,0,78.09,3566,101,3,8,21,0,0,0,0
birdeatscake,97,1420,0,14.64,535,868,17,447,71,3,119,0,0
Traaker_L,13,174,0,13.38,22,151,1,50,18,0,1,0,0
MichNicole,19,944,1,49.68,469,428,47,280,93,1,1,0,0
daFisch,206,7128,0,34.6,4430,2605,93,940,177,3,151,9,3
ReedtheRiver,124,3999,0,32.25,1198,2641,160,385,531,10,253,0,0
richardninde,20,684,1,34.2,102,513,69,45,4,0,0,0,0
Whimsical Otter,88,2754,0,31.3,1196,1511,47,194,280,6,144,0,0
Kaarti_B,78,6020,0,77.18,2446,3043,531,189,117,0,178,3,0
vorpalblade77-kaart,6,184,0,30.67,11,173,0,0,0,0,0,0,0
MTBdude,105,2283,0,21.74,606,1581,96,936,343,1,71,0,0
DerekBev,146,4178,0,28.62,2488,1534,156,8,1,2,189,28,0
nutchayahongvilai,118,2447,0,20.74,1089,1322,36,16,13,2,136,9,0
InnerPace,90,1334,0,14.82,721,582,31,29,8,0,215,6,0
spence142,140,6486,0,46.33,4824,1550,112,26,1,2,367,22,0
Solra,108,5491,0,50.84,3903,1496,92,2,1,0,100,7,0
TOTAL,2500,87542,4,35.02,46617,38039,2886,5053,2584,70,2879,101,4
